result_id,start_date,altitude,nirca_only,regionals,nationals,sport_name,team_id,event_name,gender,temperature,dew_point,humidity,wind_speed,precipitation_mm,result_time,athlete_id,gender_1,grade,date,seconds,gender_clean,grade_num,year,prior_count,last_time,days_since,mean_prior,best_prior,recent3_mean,ewma_time,history_cv,trend_recent,median_prior,target_seconds,target_log,log_last_time,log_mean_prior,log_median_prior,log_best_prior,log_recent3_mean,log_ewma_time,d_log_last_time,d_log_mean_prior,d_log_best_prior,d_log_recent3_mean,d_log_ewma_time,target_resid
93158,2025-02-22,594.0,False,False,False,Indoor Track,1,Mile,,,,,,,5:53.97,1,M,Sr,2025-02-22,353.97,M,4.0,2025,3,351.54,28.0,349.69666666666666,345.47,349.69666666666666,350.8141875,0.010495796713026383,0.0,350.15749999999997,353.97,5.869212163779937,5.8623235027847524,5.857066112044109,5.858383053263824,5.84490580875755,5.857066112044109,5.860256702952741,0.003940449520928091,-0.001316941219715595,-0.013477244506274744,-0.001316941219715595,0.0018736496889166787,0.010829110516112905
118693,2026-01-17,656.0,False,False,False,Indoor Track,1,Mile,,,,,,,5:59.10,1,M,,2026-01-17,359.1,M,,2026,4,353.97,329.0,350.765,345.47,350.32666666666665,352.60787500000004,0.010492865175155077,0.0,350.765,359.1,5.883600901232037,5.869212163779937,5.860116483570647,5.860116483570647,5.84490580875755,5.8588660525320595,5.8653566038039875,0.00909568020929008,0.0,-0.015210674813097569,-0.001250431038587685,0.005240120233340306,0.023484417661389756
119676,2026-02-07,656.0,False,False,False,Indoor Track,1,Mile,,,,,,,5:45.67,1,M,,2026-02-07,345.67,M,,2026,5,359.1,21.0,352.43199999999996,345.47,354.87000000000006,356.057725,0.013916174104144753,0.004979684024152205,352.43199999999996,345.67,5.845484562716465,5.883600901232037,5.864857695841802,5.864857695841802,5.84490580875755,5.871751525225755,5.875092866583727,0.018743205390235218,0.0,-0.019951887084252107,0.0068938293839533316,0.010235170741925259,-0.019373133125336395
121566,2026-02-21,594.0,False,False,False,Indoor Track,1,Mile,,,,,,,5:50.95,1,M,,2026-02-21,350.95,M,,2026,6,345.67,14.0,351.30500000000006,345.47,352.91333333333336,348.41706250000004,0.01475373224702192,0.00014232646845333016,351.30500000000006,350.95,5.86064376317643,5.845484562716465,5.861654792019912,5.861654792019912,5.84490580875755,5.866222512153195,5.853400217659764,-0.01617022930344625,0.0,-0.01674898326236196,0.004567720133283437,-0.00825457436014787,-0.0010110288434814763
9072,2024-02-02,734.0,False,False,False,Indoor Track,1,3000m,,,,,,,8:34.68,2,M,,2024-02-02,514.68,M,,2024,1,528.26,63.0,528.2600000000001,528.26,528.26,528.26,0.0,0.0,528.26,514.68,6.243545348316789,6.269588586747655,6.2695885867476555,6.269588586747655,6.269588586747655,6.269588586747655,6.269588586747655,0.0,8.881784197001252e-16,0.0,0.0,0.0,-0.026043238430865756
11205,2024-02-17,734.0,False,False,False,Indoor Track,1,3000m,,,,,,,8:42.34,2,M,,2024-02-17,522.34,M,,2024,2,514.68,15.0,521.47,514.68,521.47,517.1413749999999,0.018414309717734334,0.0,518.075,522.34,6.258318716848325,6.243545348316789,6.256651746419871,6.2501200194235516,6.243545348316789,6.256651746419871,6.2483162897382964,-0.006574671106762686,0.006531726996319875,-0.006574671106762686,0.006531726996319875,-0.0018037296852551066,0.008198697424773194
88086,2024-12-06,734.0,False,False,False,Indoor Track,1,3000m,,,,,,,8:19.53,2,M,Jr,2024-12-06,499.53,M,3.0,2024,3,522.34,293.0,521.76,514.68,521.76,522.111625,0.013049205466148977,0.0,521.905,499.53,6.213667656345135,6.258318716848325,6.257207712041009,6.257485578982859,6.243545348316789,6.257207712041009,6.257881406018081,0.0008331378654657939,-0.00027786694185039096,-0.013940230666070086,-0.00027786694185039096,0.0003958270352217852,-0.043817922637724216
93252,2025-02-22,734.0,False,False,False,Indoor Track,1,3000m,,,,,,,8:19.59,2,M,Jr,2025-02-22,499.59,M,3.0,2025,4,499.53,78.0,516.2025,499.53,512.1833333333333,506.61581249999995,0.02407522342536706,0.0,516.2025,499.59,6.213787762038289,6.213667656345135,6.246499130356861,6.246499130356861,6.213667656345135,6.238682633863367,6.227752950069011,-0.03283147401172659,0.0,-0.03283147401172659,-0.007816496493494363,-0.018746180287850578,-0.03271136831857202
121476,2026-02-14,656.0,False,False,False,Indoor Track,1,3000m,,,,,,,8:13.75,2,M,,2026-02-14,493.75,M,,2026,5,499.59,357.0,512.88,499.53,507.15333333333336,505.65356249999996,0.025498886114007083,-0.01397500389954766,512.88,493.75,6.202029316215332,6.213787762038289,6.240041899679002,6.240041899679002,6.213667656345135,6.228813390477785,6.2258517757104865,-0.026254137640712827,0.0,-0.026374243333867398,-0.011228509201217207,-0.0141901239685156,-0.038012583463670424
90591,2025-01-31,734.0,False,False,False,Indoor Track,1,5000m,,,,,,,14:26.46,2,M,,2025-01-31,866.46,M,,2025,1,926.84,657.0,926.8400000000001,926.84,926.84,926.8400000000001,0.0,0.0,926.84,866.46,6.764415945366529,6.831780950884548,6.831780950884548,6.831780950884548,6.831780950884548,6.831780950884548,6.831780950884548,0.0,0.0,0.0,0.0,0.0,-0.0673650055180195
92189,2025-02-08,656.0,False,False,False,Indoor Track,1,5000m,,,,,,,14:45.97,2,M,,2025-02-08,885.97,M,,2025,2,866.46,8.0,896.65,866.46,896.6500000000001,877.403875,0.047616246526565445,0.0,881.5550000000001,885.97,6.78668308998667,6.764415945366529,6.798665596394433,6.781687393538714,6.764415945366529,6.798665596394433,6.776967405180077,-0.01727144817218562,0.016978202855718827,-0.01727144817218562,0.016978202855718827,-0.004719988358637295,0.004995696447955389
99191,2025-03-21,812.0,False,False,False,Outdoor Track,1,5000m,,,,,,,14:48.59,2,M,,2025-03-21,888.59,M,,2025,3,885.97,41.0,893.09,866.46,893.09,888.7735,0.03450185144826994,0.0,891.31,888.59,6.789635936781046,6.78668308998667,6.794687359672726,6.792692290640657,6.764415945366529,6.794687359672726,6.789842422399381,-0.006009200653987357,0.001995069032068919,-0.028276345274128367,0.001995069032068919,-0.0028498682412756438,-0.003056353859610894
119322,2026-01-30,734.0,False,False,False,Indoor Track,1,5000m,,,,,,,14:33.74,2,M,,2026-01-30,873.74,M,,2026,4,888.59,315.0,891.9650000000001,866.46,880.34,890.0243750000001,0.02831874601508923,0.0,891.9650000000001,873.74,6.77278284856121,6.789635936781046,6.793426894142031,6.793426894142031,6.764415945366529,6.780308196489406,6.7912488499916,-0.0037909573609846703,0.0,-0.029010948775502143,-0.013118697652624967,-0.002178044150430658,-0.02064404558082078
